Col1,Col2,Value,CL1,CL2,CL3,CL4,,,,Value
Transportation,Best Route (GPS),1,Compare possible routes,Compare routes,Compare actions,Compare,,,,1
Commerce & Sales,AR Item Viewing,1,Detect collision events of digital product and objects in space,Detect collision of objects,Detect event,Detect,,,,1
Commerce & Sales,AR Item Viewing,1,Detect spatial characteristics and size,Detect space,Detect thing,Detect,,,,1
Commerce & Sales,AR Item Viewing,1,Identify objects in space,Identify surrounding objects,Identify thing,Identify,,,,1
Commerce & Sales,AR Item Viewing,1,Recommend best size of product in relation to space,Recommend size,Recommend strategy,Recommend,,,,1
Transportation,AV Lane Departure,1,Detect nearby cars,Detect cars,Detect thing,Detect,,,,1
Transportation,AV Lane Departure,1,Detect if car is leaving lane,Detect departure,Detect action,Detect,,,,1
Transportation,AV Lane Departure,1,Detect lane boundaries,Detect lane,Detect thing,Detect,,,,1
Transportation,AV Lane Departure,1,Identify position of car in lane,Identify car position,Identify location,Identify,,,,1
Transportation,AV Lane Departure,1,Identify intention of lane departure,Identify intention of departure,Identify action,Identify,,,,1
Transportation,AV Lane Departure,1,Rate danger of lane departure,Rate danger,Rate range,Rate,,,,1
Transportation,Best Route (GPS),1,Estimate travel time,Estimate duration,Estimate event,Estimate,,,,1
Transportation,Best Route (GPS),1,Forecast traffic congestion,Forecast congestion,Forecast event,Forecast,,,,1
Transportation,Best Route (GPS),1,Predict car location offline,Predict car location,Predict location,Predict,,,,1
Transportation,Best Route (GPS),1,Recommend best route,Recommend route,Recommend action,Recommend,,,,1
Risk Mitigation & Security,Biometric Security,1,Compare features to accepted user settings,Compare features,Compare things,Compare,,,,1
Risk Mitigation & Security,Biometric Security,1,Detect if 3D shape is a face,Detect person,Detect thing,Detect,,,,1
Risk Mitigation & Security,Biometric Security,1,Detect if an image has a fingerprint,Detect person,Detect thing,Detect,,,,1
Risk Mitigation & Security,Biometric Security,1,Detect if audio contains human voice,Detect person,Detect thing,Detect,,,,1
Risk Mitigation & Security,Biometric Security,1,Detect if image has a face,Detect person,Detect thing,Detect,,,,1
Risk Mitigation & Security,Biometric Security,1,Identify fingerprint characteristics,Identify person,Identify thing,Identify,,,,1
Risk Mitigation & Security,Biometric Security,1,Identify person from 3D face shape,Identify person,Identify thing,Identify,,,,1
Risk Mitigation & Security,Biometric Security,1,Identify person from image of face,Identify person,Identify thing,Identify,,,,1
Risk Mitigation & Security,Biometric Security,1,Identify person from their voice,Identify person,Identify thing,Identify,,,,1
Professional Services,Candidate Screening & Recruitment,1,Compare candidates applying for job,Compare candidates,Compare things,Compare,,,,1
Professional Services,Candidate Screening & Recruitment,1,Detect if audio contains human voice,Detect person,Detect thing,Detect,,,,1
Professional Services,Candidate Screening & Recruitment,1,Detect if image has a face,Detect person,Detect thing,Detect,,,,1
Professional Services,Candidate Screening & Recruitment,1,Identify facial expressions,Identify emotion/intention,Identify thing,Identify,,,,1
Professional Services,Candidate Screening & Recruitment,1,Identify speech patterns,Identify sequential pattern,Identify thing,Identify,,,,1
Professional Services,Candidate Screening & Recruitment,1,Identify resume keywords,Identify words,Identify thing,Identify,,,,1
Professional Services,Candidate Screening & Recruitment,1,Rate candidates applying for job,Rate candidates,Rate things,Rate,,,,1
"Manufacturing, Production & Agriculture",Defect Detection,1,Detect if product has defects,Detect abnormalities,Detect condition,Detect,,,,1
"Manufacturing, Production & Agriculture",Defect Detection,1,Identify cause of defect,Identify cause of anomaly,Identify cause,Identify,,,,1
"Manufacturing, Production & Agriculture",Defect Detection,1,Identify location of defect,Identify location of anomaly,Identify location,Identify,,,,1
"Manufacturing, Production & Agriculture",Defect Detection,1,Identify type of defect,Identify type,Identify thing,Identify,,,,1
Healthcare,Drug Discovery & Development,1,Discover usages for drug,Discover usage,Discover action,Discover,,,,1
Healthcare,Drug Discovery & Development,1,Estimate drug toxicity,Estimate toxicity,Estimate range,Estimate,,,,1
Healthcare,Drug Discovery & Development,1,Forecast profitability of new/repurposed drug,Forecast profit,Forecast outcome,Forecast,,,,1
Healthcare,Drug Discovery & Development,1,Predict drug's bioactivity,Predict bioactivity,Predict action,Predict,,,,1
Healthcare,Drug Discovery & Development,1,Predict drug's physio-chemical reaction,Predict physio-chemical reaction,Predict action,Predict,,,,1
Healthcare,Drug Discovery & Development,1,Predict drug protein interaction,Predict protein interaction,Predict action,Predict,,,,1
Healthcare,Drug Discovery & Development,1,Predict drug's protein structure,Predict protein structure,Predict thing,Predict,,,,1
